세부사업 코드,세부사업명,기관,지역,구분,분야(추정),성격,예산현액(억 원),집행액(억 원),온통청년 대응,대응 정책번호,대응 정책명,가장 가까운 후보,후보 유사도
3920000202430001,청년창업지원센터 운영,경기동두천시,경기,지방,창업·농어업,기반·운영,2.3,1.21,있음,,,청년 융합기술 창업지원,0.72
4140000200730896,부업 대학생 운영,경기연천군,경기,지방,교육·역량,기타,2.3,2.3,찾지 못함,,,대학생 천원의 아침밥,0.549
55300002020302A4,청년지원센터 운영,경기화성시,경기,지방,정책기반,기반·운영,2.3,1.5,찾지 못함,,,경기청년 역량강화 기회지원,0.62
50200002017300A2,자립준비청년자립정착금지원<보조>,경북포항시,경북,지방,금융·생활안정,대상자 지원,2.3,0.6,있음,20260330005400212328,자립준비청년 자립정착금 지원,자립준비청년 자립정착금 지원,1.12
511000020203002E,[지]청년보육 및 기술혁신 지원 서비스 제고,경북상주시,경북,지방,정책기반,대상자 지원,2.3,1.68,찾지 못함,,,우수 청년기업 지원,0.537
341000020243007B,북성로청년창업클러스터운영,대구중구,대구,지방,창업·농어업,대상자 지원,2.3,2.3,찾지 못함,,,대구광역시 청년마음건강센터 운영,0.555
4710000202030086,스마트팜 청년보육 및 기술혁신 등 지원(보조),전북김제시,전북,지방,창업·농어업,대상자 지원,2.3,1.19,찾지 못함,,,스마트팜청년창업보육센터,0.615
3510500202330010,자립준비청년 자립정착금,인천미추홀구,인천,지방,금융·생활안정,대상자 지원,2.3,1.5,있음,20250718005400211453,자립준비청년 자립정착금 지원,자립준비청년 자립정착금 지원,1.12
64300002024302C9,금왕산단 청년문화센터 건립사업(국가직접지원),충북본청,충북,지방,문화·건강,기반·운영,2.3,2.3,찾지 못함,,,충북청년희망센터 운영,0.564
420000020193014C,보호종료 아동 자립수당 지원 사업,강원강릉시,강원,지방,금융·생활안정,대상자 지원,2.29,1.66,찾지 못함,,,자립준비청년 자립수당 지원,0.582
4610000202330202,청년월세지원사업,충남예산군,충남,지방,주거,대상자 지원,2.28,0.72,있음,,,청년농 지원사업 홍보,0.826
488000020243009A,고흥 청년 디딤돌 주거안정 지원,전남광주고흥군,전남,지방,주거,대상자 지원,2.28,1.22,찾지 못함,,,청년 희망디딤돌 통장 운영,0.62
630000020183019B,청년 농업인 영농정착 지원,대전본청,대전,지방,창업·농어업,대상자 지원,2.27,1.42,찾지 못함,,,청년농업인 스마트농업 시범,0.691
654000020243027D,청년성장프로젝트,전북본청,전북,지방,취업·일경험,기타,2.27,2.11,있음,,,청년성장프로젝트(청년카페),1.0
4781000202530003,청년농업인 스마트팜 단지 운영,전북고창군,전북,지방,창업·농어업,기타,2.27,0.61,있음,,,청년창업 스마트팜 패키지 지원,0.847
33100002024300E7,청년창조발전소 내진보강공사,부산남구,부산,지방,정책기반,기타,2.26,2.12,찾지 못함,,,부산 청년 패널조사,0.541
3170000200730162,청년 구정참여,서울금천구,서울,지방,참여·권리,기타,2.26,2.14,찾지 못함,,,서울 청년수당,0.52
3480000202630032,청년행정인턴 지원사업,대구달성군,대구,지방,취업·일경험,대상자 지원,2.26,1.17,있음,,,청년농업인 영농정착지원사업,0.729
473100020253000E,청년센터 운영,전북진안군,전북,지방,정책기반,기반·운영,2.26,2.26,있음,,,전북특별자치도 청년마음건강센터 운영,0.87
4240000202130174,삼척청년센터 운영,강원삼척시,강원,지방,정책기반,기반·운영,2.25,2.23,있음,,,강원청년센터 운영,0.92
539000020263005F,청년 소규모 스마트팜 조성,경남의령군,경남,지방,창업·농어업,기반·운영,2.25,0.0,있음,20250918005400211768,청년 소규모 스마트팜 조성,청년 소규모 스마트팜 조성,1.12
3820000202030155,청년센터 청년공감터 운영,경기의정부시,경기,지방,정책기반,기타,2.25,1.23,찾지 못함,,,경기도 청년참여기구 운영,0.541
6450000201730313,청년희망(간편형) 스마트팜 확산사업,전북본청,전북,지방,창업·농어업,기타,2.25,2.18,있음,20250718005400211420,청년희망 스마트팜 확산사업,청년희망 스마트팜 확산사업,1.12
4710000202330147,전북형 청년활력수당(보조),전북김제시,전북,지방,금융·생활안정,대상자 지원,2.25,0.97,있음,20250113005400210207,전북형 청년활력수당,전북형 청년활력수당,1.12
47200002023301FC,"신혼부부, 청년 공공임대주택 임대보증금 지원 사업",전북완주군,전북,지방,주거,대상자 지원,2.25,2.22,찾지 못함,,,신혼부부 전세자금 대출이자 지원사업,0.606
3120000202030006,청년창업센터 운영 활성화,서울서대문구,서울,지방,창업·농어업,기반·운영,2.24,1.51,있음,,,서울광역청년센터 운영,0.752
3140000202330010,청년 국가자격시험 응시료 지원,서울양천구,서울,지방,교육·역량,대상자 지원,2.24,1.45,찾지 못함,,,자립준비청년 자립수당 지원,0.52
3210000202230009,청년 취업연계과정 운영,서울서초구,서울,지방,취업·일경험,대상자 지원,2.24,0.32,찾지 못함,,,청년예술청 운영,0.591
5410000202330101,청년센터 운영,경남창녕군,경남,지방,정책기반,기반·운영,2.24,1.07,찾지 못함,,,새일센터 지정 운영,0.691
4080000202130002,대학생 교육비 지원,경기안성시,경기,지방,교육·역량,대상자 지원,2.24,1.33,찾지 못함,,,대학일자리센터 지원,0.591
3970000202330045,대학생 행정체험 연수,경기과천시,경기,지방,교육·역량,기타,2.24,2.05,찾지 못함,,,대학생 천원의 아침밥,0.495
4331000202530019,인제군 청년커뮤니티센터 운영[자체],강원인제군,강원,지방,참여·권리,기반·운영,2.23,1.91,있음,,,강원청년센터 운영,0.752
48200002019301D0,청년 취업자 주거비 지원사업,전남광주순천시,전남,지방,주거,대상자 지원,2.23,1.01,있음,20251124005400211940,청년 취업자 주거비 지원사업,청년 취업자 주거비 지원사업,1.12
37800002024301E9,청년 및 노인 정신건강증진사업,경기성남시,경기,지방,문화·건강,기타,2.23,2.23,찾지 못함,,,청년층 정신건강 서비스 강화,0.691
41910002026301C2,사회연대경제 청년 일경험 지원,강원원주시,강원,지방,취업·일경험,대상자 지원,2.22,0.31,있음,,,사회연대경제 청년일경험,1.0
4930000202430068,해남형 청년창업지원사업,전남광주해남군,전남,지방,창업·농어업,대상자 지원,2.22,2.22,있음,,,전남형 청년창업사관학교,1.02
3730000201930075,보호종료아동 자립수당 지원,울산울주군,울산,지방,금융·생활안정,대상자 지원,2.22,0.96,있음,20250716005400111291,보호종료아동 자립수당,보호종료아동 자립수당,1.12
3860000202630156,사회연대경제 청년 일경험 시범사업,경기부천시,경기,지방,취업·일경험,대상자 지원,2.22,0.0,있음,,,사회연대경제 청년 일경험 시범 지원,1.0
4390000201830218,자립준비청년 자립수당,충북충주시,충북,지방,금융·생활안정,대상자 지원,2.22,1.33,있음,,,자립준비청년 자립수당 지급,1.029
303000020253009D,성동구 청년센터 이전조성,서울성동구,서울,지방,정책기반,기반·운영,2.21,0.12,찾지 못함,,,서울광역청년센터 운영,0.653
6480000202330190,청년 소규모 스마트팜 조성,경남본청,경남,지방,창업·농어업,기반·운영,2.21,2.13,있음,20250918005400211768,청년 소규모 스마트팜 조성,청년 소규모 스마트팜 조성,1.12
5080000202530086,중소기업청년일자리근속장려금,경북구미시,경북,지방,취업·일경험,대상자 지원,2.21,1.11,있음,,,청년일자리 근속장려금 지원사업,1.02
6450000201830180,청년 어촌정착 지원,전북본청,전북,지방,창업·농어업,대상자 지원,2.21,2.21,있음,,,전북청년 지역정착 지원사업,0.787
479000020203006D,전북청년 지역정착사업,전북부안군,전북,지방,정책기반,기타,2.21,1.3,있음,20250113005400210206,전북청년 지역정착 지원사업,전북청년 지역정착 지원사업,1.12
626000020203014A,청년문화 공간 운영,부산본청,부산,지방,문화·건강,기반·운영,2.2,2.2,있음,,,부산 민락인디트레이닝센터 운영,0.92
330000020253006F,청년성장프로젝트(청년카페),부산동래구,부산,지방,취업·일경험,기타,2.2,2.2,있음,,,부산 청년잡(JOB) 성장프로젝트,1.061
3070000202630047,청년마음건강센터 운영,서울성북구,서울,지방,문화·건강,기반·운영,2.2,0.57,있음,,,서울광역청년센터 운영,0.787
3640000200730573,자립준비청년 자립정착금(시비),대전동구,대전,지방,금융·생활안정,대상자 지원,2.2,0.85,찾지 못함,,,청년 행정체험연수 운영,0.473
52600002022300A8,청년정책추진,경북울릉군,경북,지방,정책기반,기타,2.2,0.49,찾지 못함,,,2025년 청년도전 지원사업,0.62
538000020213005A,청년 월세 지원,경남양산시,경남,지방,주거,대상자 지원,2.19,1.47,있음,,,청년 월세 지원,0.92
53100002021300CA,청년월세 지원 사업(경남),경남진주시,경남,지방,주거,대상자 지원,2.19,1.08,있음,,,청년 월세 지원,0.92
5420000202630032,청년 창업자 입주거리 조성_청년 창업 와글와글(지방소멸대응기금)(2026년),경남고성군,경남,지방,창업·농어업,기반·운영,2.19,0.05,찾지 못함,,,경남 청년 보금자리 조성,0.564
3990000201830122,청년농업인 영농정착 지원,경기남양주시,경기,지방,창업·농어업,대상자 지원,2.19,0.37,있음,20251107005400211815,청년농업인 영농정착지원,청년농업인 영농정착지원,1.12
55300002024301C0,화성청년 취업역량강화,경기화성시,경기,지방,교육·역량,대상자 지원,2.19,0.36,있음,,,경기청년 역량강화 기회지원,0.787
4160000201830055,청년 농업인 영농정착 지원(보조),경기가평군,경기,지방,창업·농어업,대상자 지원,2.19,2.19,있음,20251107005400211815,청년농업인 영농정착지원,청년농업인 영농정착지원,1.12
41800002020300BA,춘천시 청년농업인 영농정착 지원,강원춘천시,강원,지방,창업·농어업,대상자 지원,2.17,0.95,있음,20250502005400210777,춘천시 청년농업인 영농정착 지원,춘천시 청년농업인 영농정착 지원,1.12
322000020263003E,강남구 청년 행정인턴 지원,서울강남구,서울,지방,취업·일경험,대상자 지원,2.17,1.7,있음,,,서울청년 예비인턴,0.735
53600002025300CE,청년 일경험(인턴) 사업,경남밀양시,경남,지방,취업·일경험,대상자 지원,2.17,0.27,있음,20250917005400211751,청년 일경험 지원,청년 일경험 지원,1.12
4221000202430047,청년센터 운영,강원태백시,강원,지방,정책기반,기반·운영,2.16,2.05,있음,,,강원청년센터 운영,0.92
6460000202630197,K-Art 청년 창작자 지원 (전남),전남광주본청,전남,지방,정책기반,대상자 지원,2.16,2.16,있음,20260408005400212606,K-Art 청년 창작자 지원사업(2026~2027),K-Art 청년 창작자 지원사업(2026~2027),1.12
48200002017301BB,청년센터 운영,전남광주순천시,전남,지방,정책기반,기반·운영,2.16,1.4,찾지 못함,,,순천시 청년정책 114 운영,0.653
3120000202030019,보호아동 및 자립준비청년 자립지원,서울서대문구,서울,지방,금융·생활안정,대상자 지원,2.16,1.3,있음,,,자립준비청년 자립수당 지원,0.861
3030000202530014,청년친화도시 조성,서울성동구,서울,지방,정책기반,기반·운영,2.16,1.24,있음,,,청년친화도시 확산,0.75
648000020263020E,K-Art 청년창작자 지원(국가직접지원),경남본청,경남,지방,정책기반,대상자 지원,2.16,2.16,찾지 못함,,,청년 창업농 맞춤형 지원,0.596
33300002020300CD,청년채움공간 운영,부산해운대구,부산,지방,정책기반,기반·운영,2.15,1.82,있음,,,부산 청년공간 오름라운지 운영,0.752
5010000202330132,청년어업인영어정착(보조),전남광주신안군,전남,지방,창업·농어업,기타,2.15,1.0,있음,,,청년어업인 정착지원 사업,0.875
490000020263000B,청년 근속장려금 지원,전남광주화순군,전남,지방,취업·일경험,대상자 지원,2.15,1.06,있음,20250710005400211181,전남 청년 근속장려금,전남 청년 근속장려금,1.12
6480000202630208,경남 청년 꿈 아카데미 센터 운영,경남본청,경남,지방,교육·역량,기반·운영,2.15,2.15,있음,,,경남 꿈 아카데미,1.02
39100002018301FC,청년창업지원센터 운영,경기평택시,경기,지방,창업·농어업,기반·운영,2.14,2.14,있음,20260326005400212289,2026년 평택시 청년창업지원센터 운영,2026년 평택시 청년창업지원센터 운영,1.12
3430000202630021,서구청년센터 청년마당 운영,대구서구,대구,지방,정책기반,기타,2.14,1.52,찾지 못함,,,대구광역시 청년마음건강센터 운영,0.62
3070000202330063,미취업 청년 자격증 및 어학시험 응시료 지원,서울성북구,서울,지방,교육·역량,대상자 지원,2.13,1.8,있음,,,미취업 청년 어학 및 자격증 응시료 지원(성북구),0.885
449000020243015D,청년 문화예술패스,충남천안시,충남,지방,문화·건강,대상자 지원,2.12,2.12,있음,20260504005400113122,청년문화예술패스,청년문화예술패스,1.12
3210000202330103,서리풀 청년 페스티벌,서울서초구,서울,지방,문화·건강,기타,2.12,2.09,찾지 못함,,,서울청년문화패스,0.52
5310000202530040,청년주택 임차보증금 이자 지원사업,경남진주시,경남,지방,주거,대상자 지원,2.12,0.02,있음,20250917005400211732,청년 주택 임차보증금 이자 지원,청년 주택 임차보증금 이자 지원,1.12
6420000202330257,강원 청년센터 운영,강원본청,강원,지방,정책기반,기반·운영,2.1,2.1,있음,,,강원청년센터 운영,0.92
330000020193003A,자립준비청년 자립수당 지원,부산동래구,부산,지방,금융·생활안정,대상자 지원,2.1,1.46,있음,20260430005400212954,부산 자립준비청년 자립수당 지원,부산 자립준비청년 자립수당 지원,1.12
33300002019300A9,자립준비청년 자립수당 지원,부산해운대구,부산,지방,금융·생활안정,대상자 지원,2.1,1.06,있음,20260430005400212954,부산 자립준비청년 자립수당 지원,부산 자립준비청년 자립수당 지원,1.12
3320000201930057,자립준비청년 자립수당,부산북구,부산,지방,금융·생활안정,대상자 지원,2.1,1.46,있음,20260430005400212954,부산 자립준비청년 자립수당 지원,부산 자립준비청년 자립수당 지원,1.12
4880000201030334,청년 근속장려금 지원,전남광주고흥군,전남,지방,취업·일경험,대상자 지원,2.1,0.93,있음,20250710005400211181,전남 청년 근속장려금,전남 청년 근속장려금,1.12
49700002026300D5,영광청년육아나눔터 부설주차장 이전 조성,전남광주영광군,전남,지방,정책기반,기반·운영,2.1,0.0,찾지 못함,,,청년 창업농장 조성,0.505
3080000200730487,청년 아르바이트 운영,서울강북구,서울,지방,정책기반,기타,2.1,2.07,찾지 못함,,,청년예술청 운영,0.62
400000020193003B,보호종료아동 자립수당 지원(국비),경기오산시,경기,지방,금융·생활안정,대상자 지원,2.1,1.28,찾지 못함,,,자립준비청년 주거비 지원사업,0.44
5020000202530124,청년농업인영농대행단운영<보조>,경북포항시,경북,지방,창업·농어업,기타,2.1,2.1,찾지 못함,,,청년농부 창농기반 구축,0.52
64700002025300E0,청년자립마을활성화지원,경북본청,경북,지방,금융·생활안정,대상자 지원,2.1,2.1,찾지 못함,,,자립준비청년 자립수당지원,0.642
507000020193008C,[국]보호종료아동자립수당지원,경북안동시,경북,지방,금융·생활안정,대상자 지원,2.1,1.26,찾지 못함,,,자립준비청년 자립수당지원,0.62
52500002025300D3,청년농업인 영농대행단 운영,경북울진군,경북,지방,창업·농어업,기타,2.1,2.1,찾지 못함,,,청년농부 창농기반 구축,0.52
557000020183006F,청년후계농 영농정착지원,충북증평군,충북,지방,창업·농어업,대상자 지원,2.1,1.08,있음,20250219005400210465,청년후계농 영농정착 지원,청년후계농 영농정착 지원,1.12
54700002025300F9,청년 소규모 스마트팜 조성,경남거창군,경남,지방,창업·농어업,기반·운영,2.09,1.98,있음,20250918005400211768,청년 소규모 스마트팜 조성,청년 소규모 스마트팜 조성,1.12
3730000202430010,청년 자기개발비 지원,울산울주군,울산,지방,정책기반,대상자 지원,2.08,2.04,찾지 못함,,,청년 월세 지원,0.653
5100000202330012,청년농업인농식품아이디어콘테스트,경북영천시,경북,지방,창업·농어업,기타,2.08,1.18,찾지 못함,,,경북청년 별별창업 아카데미,0.428
4470000202330052,청년 창업 지원사업,충북음성군,충북,지방,창업·농어업,대상자 지원,2.08,2.08,있음,,,음성군 청년월세 지원사업,0.87
3690000201930027,청년 취창업 지원,울산중구,울산,지방,창업·농어업,대상자 지원,2.07,2.05,있음,,,청년 월세 지원,0.735
364000020203012D,청년공간 운영,대전동구,대전,지방,정책기반,기반·운영,2.07,2.07,찾지 못함,,,청년 행정체험연수 운영,0.691
4641000202630238,사회연대경제 청년 일경험 사업,전북전주시,전북,지방,취업·일경험,대상자 지원,2.07,0.0,있음,,,사회연대경제 청년일경험,1.0
42210002025300CC,"청년 성장, 탄탄 프로젝트",강원태백시,강원,지방,정책기반,기타,2.06,0.25,찾지 못함,,,청년농업인 육성지원,0.473
4900000202630001,전남 청년부부 결혼축하금 지원,전남광주화순군,전남,지방,금융·생활안정,대상자 지원,2.06,2.06,찾지 못함,,,청년월세지원,0.591
494000020213005F,청년부부 결혼축하금 지원 사업,전남광주영암군,전남,지방,금융·생활안정,대상자 지원,2.06,1.44,찾지 못함,,,전남 청년 희망 일자리 지원사업,0.62
53400002022300D2,국토부 청년월세 지원사업,경남사천시,경남,지방,주거,대상자 지원,2.06,0.24,있음,,,청년 월세 지원,1.02
4080000202130044,청년농업인 희망씨앗 프로젝트,경기안성시,경기,지방,창업·농어업,기타,2.06,2.06,찾지 못함,,,청년농업인 영농정착지원,0.575
3560000202630117,인천형 청년월세 지원사업(만19~34세),인천검단구,인천,지방,주거,대상자 지원,2.06,0.39,있음,,,(검단구) 인천시 청년월세 지원사업,1.009
3710000202430028,청년노동자 주거환경 개선,울산동구,울산,지방,주거,대상자 지원,2.05,1.03,찾지 못함,,,청년활동경험지원사업,0.591
54100002024300EB,청년 창업농 맞춤형 지원,경남창녕군,경남,지방,창업·농어업,대상자 지원,2.05,0.0,있음,20250918005400211773,청년 창업농 맞춤형 지원,청년 창업농 맞춤형 지원,1.12
5710000202330113,청년 전세자금 대출이자 지원사업,충북청주시,충북,지방,주거,대상자 지원,2.05,0.06,찾지 못함,,,청년 학자금 대출 부실채무자 신용회복 지원,0.682
4820000202630080,자립준비청년 자립수당 지원,전남광주순천시,전남,지방,금융·생활안정,대상자 지원,2.04,1.23,찾지 못함,,,청년월세지원,0.564
3110000202630020,국제청년포럼(IFWY) 개최,서울은평구,서울,지방,참여·권리,기반·운영,2.04,1.09,찾지 못함,,,제3회 은평청년축제(부제 : 아무도 모르는 축제) 개최,0.588
5380000201930240,보호종료아동 자립수당 지원,경남양산시,경남,지방,금융·생활안정,대상자 지원,2.04,1.27,찾지 못함,,,자립지원전담기관 운영,0.484
6470000201730391,청년농산업창업지원센터운영,경북본청,경북,지방,창업·농어업,대상자 지원,2.04,2.04,있음,,,1인 창조기업 지원센터 운영,0.76
46410002026300C5,청년문화예술패스 지원사업,전북전주시,전북,지방,문화·건강,대상자 지원,2.04,2.04,있음,,,청년문화예술주문배달서비스사업(청년예술 퀵),0.857
45400002019300C8,인구청년정책 업무 추진,충남논산시,충남,지방,정책기반,기타,2.03,0.52,찾지 못함,,,충청남도 청년정책 조정위원회 운영,0.591
62600002016300DD,청년발전을 위한 민관 협력,부산본청,부산,지방,정책기반,기타,2.03,2.03,찾지 못함,,,부산 청년도전 지원사업,0.52
501000020203019F,청년경영실습임대농장운영,전남광주신안군,전남,지방,주거,대상자 지원,2.03,1.66,찾지 못함,,,청년 창업농장 조성,0.564
6110000202630064,서울청년 서울생활 꿀팁,서울본청,서울,지방,금융·생활안정,기타,2.03,1.48,찾지 못함,,,서울 청년수당,0.52
57000002020301CA,청년 신혼부부 주택 전세자금 대출이자 지원,경기여주시,경기,지방,주거,대상자 지원,2.03,0.03,찾지 못함,,,2025년 상반기 경기도 학자금 대출이자 지원,0.653
3440000202430044,청년예술인 활동 지원 사업,대구남구,대구,지방,문화·건강,대상자 지원,2.03,1.0,있음,,,2025년 청년사회진입 활동지원사업,0.816
4710000202030081,생생 청년농부 농촌정착 프로젝트(보조),전북김제시,전북,지방,창업·농어업,기타,2.03,1.33,찾지 못함,,,청년창업농 영농정착지원사업,0.642
3050000202230011,청년 취업 자격취득 활동 지원,서울동대문구,서울,지방,취업·일경험,대상자 지원,2.02,2.02,찾지 못함,,,서울 청년 밀키트 창업지원,0.596
63100002026300B1,K-Art 청년창작자 지원,울산본청,울산,지방,정책기반,대상자 지원,2.02,2.02,찾지 못함,,,청년 월세 지원,0.591
6310000202230123,보호종료아동 자립지원전담기관 사업비,울산본청,울산,지방,금융·생활안정,대상자 지원,2.02,1.8,있음,,,보호종료아동 자립수당,0.816
53700002023302D9,모다드림 청년통장 지원,경남거제시,경남,지방,금융·생활안정,대상자 지원,2.02,2.02,있음,20250916005400211693,모다드림 청년통장 지원,모다드림 청년통장 지원,1.12
55300002026300AA,청년 내일(job)응원금 지원사업(시금고협력사업비),경기화성시,경기,지방,정책기반,대상자 지원,2.02,0.83,찾지 못함,,,경기청년 재기격려지원사업,0.691
4810000202530049,청년 도서구입비 지원,전남광주여수시,전남,지방,정책기반,대상자 지원,2.01,2.01,있음,20260408005400212644,청년 도서구입비 지원,청년 도서구입비 지원,1.12
55300002025300B9,화성청년 해외연수 프로그램,경기화성시,경기,지방,정책기반,기타,2.01,2.01,있음,,,경기청년 해외진출(일본) 사업,0.92
55300002024300AB,청년 전월세 보증금 대출이자 지원사업,경기화성시,경기,지방,주거,대상자 지원,2.01,1.39,찾지 못함,,,2025년 상반기 경기도 학자금 대출이자 지원,0.62
51300002026300B7,(국비보조)사회연대경제 청년 일경험 시범사업,경북경산시,경북,지방,취업·일경험,대상자 지원,2.01,0.09,있음,,,사회연대경제 청년 일경험 시범 지원,1.0
3410000202230015,청년사업자임대료지원,대구중구,대구,지방,주거,대상자 지원,2.01,1.1,있음,,,대구형 청년희망주택 임대료 지원 사업,0.745
47200002023301BB,전북 청년 활력수당,전북완주군,전북,지방,금융·생활안정,대상자 지원,2.01,0.35,있음,,,전북형 청년활력수당,1.043
4191000202630150,청년농업인 R&D 기술창업 통합관리 지원,강원원주시,강원,지방,창업·농어업,대상자 지원,2.0,0.0,있음,,,청년농업인 R&D 기술창업 통합관리 지원,1.0
4201000202630167,청년농업인 R&D 기술창업 통합관리 지원,강원강릉시,강원,지방,창업·농어업,대상자 지원,2.0,0.0,있음,,,청년농업인 R&D 기술창업 통합관리 지원,1.0
4221000202630081,청년농업인 R&D기술창업 통합관리 지원,강원태백시,강원,지방,창업·농어업,대상자 지원,2.0,0.0,있음,,,청년농업인 R&D 기술창업 통합관리 지원,1.0
4331000202630057,청년농업인 R&D 기술창업 통합관리 지원[국비],강원인제군,강원,지방,창업·농어업,대상자 지원,2.0,0.0,있음,,,청년농업인 R&D 기술창업 통합관리 지원,1.0
4311000202630087,청년농업인 R&D 기술창업 통합관리 지원사업,강원화천군,강원,지방,창업·농어업,대상자 지원,2.0,0.0,있음,,,청년농업인 R&D 기술창업 통합관리 지원,1.0
4350000200730649,청년 행정체험단(아르바이트) 운영,강원양양군,강원,지방,취업·일경험,기타,2.0,1.77,있음,,,대학생 행정체험연수 운영,0.787
4490000202530075,청년 문화활동 활성화 지원사업,충남천안시,충남,지방,문화·건강,대상자 지원,2.0,1.0,있음,,,대학로 청년문화예술 활성화 지원,0.787
452000020263017B,청년농업인 R&D 기술창업 통합관리 지원 사업,충남아산시,충남,지방,창업·농어업,대상자 지원,2.0,0.0,있음,,,청년농업인 R&D 기술창업 통합관리 지원,1.0
45400002026300A4,청년 골목 경제 활성화 소상공인 페스티벌(고향사랑기금),충남논산시,충남,지방,문화·건강,기타,2.0,2.0,찾지 못함,,,충남 청년 뮤직 페스타,0.453
56800002026300AE,청년농업인 R&D 기술창업 통합관리 지원,충남당진시,충남,지방,창업·농어업,대상자 지원,2.0,0.0,있음,,,청년농업인 R&D 기술창업 통합관리 지원,1.0
4570000202330220,청년농업인 농지 임차료 지원사업,충남부여군,충남,지방,창업·농어업,대상자 지원,2.0,0.0,있음,20250715005400211277,청년농업인 농지임차료 지원,청년농업인 농지임차료 지원,1.12
458000020263007A,청년농업인 R&D 기술창업 통합관리 지원,충남서천군,충남,지방,창업·농어업,대상자 지원,2.0,0.0,있음,,,청년농업인 R&D 기술창업 통합관리 지원,1.0
461000020223013E,(지방소멸대응기금)청년마을활동가제도,충남예산군,충남,지방,참여·권리,기타,2.0,2.0,찾지 못함,,,청년새마을연합회 사업 지원,0.591
3350000202330069,금정 청년 로컬 창업가 정착 지원(2026),부산금정구,부산,지방,창업·농어업,대상자 지원,2.0,2.0,찾지 못함,,,부산시 금정구 청년창업문화촌 운영,0.665
4800000201930077,자립준비청년 자립정착금,전남광주목포시,전남,지방,금융·생활안정,대상자 지원,2.0,1.15,찾지 못함,,,자립준비청년 자립정착금,0.65
485000020263001E,청년 담양 로컬 정착 지원사업(2026),전남광주담양군,전남,지방,정책기반,대상자 지원,2.0,0.29,찾지 못함,,,전남 청년 희망 일자리 지원사업,0.642
4880000202630034,청년 스마트 영농단 육성(전환사업),전남광주고흥군,전남,지방,창업·농어업,기타,2.0,2.0,찾지 못함,,,전남형 청년마을 조성사업,0.591
4930000202330186,"전라남도, 지역연계형 청년 창업지원",전남광주해남군,전남,지방,창업·농어업,대상자 지원,2.0,0.0,있음,,,지역자원 연계 청년창업 지원,0.741
4910000202630065,청년농업인 스마트 영농단 육성(도/전환)(전환사업),전남광주장흥군,전남,지방,창업·농어업,기타,2.0,2.0,있음,,,청년농업인 스타트업(초기창업) 지원사업,0.756
49600002024300A4,청년 스마트 영농단 육성(전환사업),전남광주함평군,전남,지방,창업·농어업,기타,2.0,2.0,찾지 못함,,,전남형 청년마을 조성사업,0.591
498000020263006C,성장장성 청년성장 창업지원사업,전남광주장성군,전남,지방,창업·농어업,대상자 지원,2.0,2.0,찾지 못함,,,청년농업인 창업 스케일업(성장) 지원사업,0.672
49700002024300CF,청년 스마트 영농단 육성(1단계 도 전환사업),전남광주영광군,전남,지방,창업·농어업,기타,2.0,0.0,찾지 못함,,,전남형 청년마을 조성사업,0.591
63100002026300A2,청년농업인 R&D 기술창업 통합관리 지원,울산본청,울산,지방,창업·농어업,대상자 지원,2.0,2.0,있음,,,청년농업인 R&D 기술창업 통합관리 지원,1.0
5310000200930980,대학생 행정인턴 사업,경남진주시,경남,지방,교육·역량,대상자 지원,2.0,1.99,있음,20251127005400211942,진주시 대학생 행정인턴사업,진주시 대학생 행정인턴사업,1.12
6480000202530156,청년 일경험 지원 사업,경남본청,경남,지방,취업·일경험,대상자 지원,2.0,1.99,있음,20250917005400211751,청년 일경험 지원,청년 일경험 지원,1.12
6480000202330111,대학 특화 청년창업 활성화 지원,경남본청,경남,지방,창업·농어업,대상자 지원,2.0,2.0,있음,20250918005400211757,대학 특화 청년창업 활성화 지원,대학 특화 청년창업 활성화 지원,1.12
6480000202330405,청년 365 핫플레이스 조성,경남본청,경남,지방,정책기반,기반·운영,2.0,2.0,있음,20250917005400211705,청년 365 핫플레이스 조성,청년 365 핫플레이스 조성,1.12
5340000202630081,사천 청년창업가 육성 및 지원,경남사천시,경남,지방,창업·농어업,대상자 지원,2.0,2.0,있음,,,청년어업인 육성 및 지원,0.847
53600002026300C9,청년 창업 생태계 펀드,경남밀양시,경남,지방,창업·농어업,대상자 지원,2.0,1.63,찾지 못함,,,청년 창업농 맞춤형 지원,0.591
53600002026300D6,청년농업인 R&D 기술창업 통합관리 지원사업,경남밀양시,경남,지방,창업·농어업,대상자 지원,2.0,0.0,있음,,,청년농업인 R&D 기술창업 통합관리 지원,1.0
5330000202530106,청년 365 핫플레이스 조성사업,경남통영시,경남,지방,정책기반,기반·운영,2.0,2.0,있음,20250917005400211705,청년 365 핫플레이스 조성,청년 365 핫플레이스 조성,1.12
5410000202330005,청년농 영농대행단 모델 구축,경남창녕군,경남,지방,창업·농어업,기타,2.0,1.94,찾지 못함,,,청년농업인 영농정착지원,0.596
540000020233016D,함안청년 창업가 지속성장 지원,경남함안군,경남,지방,창업·농어업,대상자 지원,2.0,2.0,있음,,,함안청년 창업가 지속성장 지원사업,1.0
540000020263007B,청년농업인 R&D 기술창업 통합관리지원,경남함안군,경남,지방,창업·농어업,대상자 지원,2.0,0.0,있음,,,청년농업인 R&D 기술창업 통합관리 지원,1.0
